0,ID,UPLINK_MAX_THRP,ROAM_ALLOW_DIALUP,APN,SYSTEM_MODE,SIM_STATUS,SERVICE_STATUS,ROAM_STATUS,UPSTREAM_MAX_RATE,DEVICE_ID,BANDWIDTH,TAC,PROTOCOL,SIGNAL_QUALITY,SERVICE_DOMAIN,RSRP,SINR,RSSI,RSRQ,SYS_SUB_MODE,TIMESTAMP,OperatorName,PLMN,NetworkMode,ConnectedBand,DLFrequency,ULFrequency,CellID,PCI,BEST_CHANNEL,CREATED_DATE,Anomaly,Reason,Severity
37,1125900000000000.0,247 KB/s,0,EGO,LTE,Valid,AvailableService,Normal,11 MB/s,00E0FC-E5783-230b-4HJ7S25908002850,DL:20000 UL:20000,31901.0,,41,CS_PS_Capable,-100dBm,0dB,-65dBm,-13.0dB,LTE,22-06-2026 13:33,Zain Iraq,41820,LTE,1.0,21600.0,19700.0,112601365.0,88.0,,22-06-2026 13:33,No,Transition count within threshold,Low
38,1125900000000000.0,301733Byte/s,0,EGO,LTE,Valid,AvailableService,Normal,100000000,00E0FC-B535-235a-64YUT23B28003805,DL:20000 UL:20000,31908.0,,54,CS_PS_Capable,-87dBm,2dB,-58dBm,-9.0dB,LTE,22-06-2026 13:33,Zain Iraq,41820,LTE,3.0,18150.0,17200.0,110399501.0,179.0,,22-06-2026 13:33,No,Transition count within threshold,Low
39,1125900000000000.0,107571Byte/s,0,EGO,LTE,Valid,AvailableService,Normal,100000000,00E0FC-B320-323-BPG7S24127005740,DL:20000 UL:20000,31301.0,,61,CS_PS_Capable,-80dBm,27dB,-53dBm,-6.0dB,LTE,22-06-2026 13:33,Zain Iraq,41820,LTE,41.0,26250.0,26250.0,110657332.0,13.0,,22-06-2026 13:33,No,Transition count within threshold,Low
40,1125900000000000.0,138562Byte/s,0,EGO,WCDMA,Valid,AvailableService,Normal,14400000,00E0FC-B320-323-BPG7S24127007705,,,,66,CS_PS_Capable,,,-53dBm,,HSPA,22-06-2026 13:33,Zain Iraq,41820,WCDMA,,,,62901951.0,,,22-06-2026 13:33,No,Transition count within threshold,Low
41,1125900000000000.0,93407Byte/s,0,EGO,WCDMA,Valid,AvailableService,Normal,14400000,00E0FC-B320-323-BPG7S24127013727,,,,44,CS_PS_Capable,,,-52dBm,,HSPA,22-06-2026 13:33,Zain Iraq,41820,WCDMA,,,,62857164.0,,,22-06-2026 13:33,No,Transition count within threshold,Low
42,1125900000000000.0,118692Byte/s,0,EGO,LTE,Valid,AvailableService,Normal,100000000,00E0FC-B535-235a-64YUT23B28015724,DL:20000 UL:20000,31303.0,,74,CS_PS_Capable,-67dBm,9dB,-50dBm,-8.0dB,LTE,22-06-2026 13:33,Zain Iraq,41820,LTE,3.0,18150.0,17200.0,110585100.0,214.0,,22-06-2026 13:33,No,Transition count within threshold,Low
43,1125900000000000.0,47052Byte/s,0,EGO,LTE,Valid,AvailableService,Normal,100000000,00E0FC-B320-323-BPG7S24204000479,DL:20000 UL:20000,31901.0,,53,CS_PS_Capable,-88dBm,14dB,-58dBm,-8.5dB,LTE,22-06-2026 13:33,Zain Iraq,41820,LTE,1.0,21600.0,19700.0,110501653.0,78.0,,22-06-2026 13:33,No,Transition count within threshold,Low
44,1125900000000000.0,211386Byte/s,0,EGO,LTE,Valid,AvailableService,Normal,100000000,00E0FC-B535-235a-64YUT23B28014962,DL:20000 UL:20000,41922.0,,65,CS_PS_Capable,-76dBm,4dB,-57dBm,-10.0dB,LTE,22-06-2026 13:33,Zain Iraq,41820,LTE,3.0,18150.0,17200.0,103044620.0,434.0,,22-06-2026 13:33,No,Transition count within threshold,Low
45,1125900000000000.0,126162Byte/s,0,EGO,LTE,Valid,AvailableService,Normal,100000000,00E0FC-B320-323-BPG7S24127012405,DL:20000 UL:20000,41324.0,,43,CS_PS_Capable,-98dBm,1dB,-64dBm,-12.5dB,LTE,22-06-2026 13:33,Zain Iraq,41820,LTE,3.0,18150.0,17200.0,110888973.0,8.0,,22-06-2026 13:33,No,Transition count within threshold,Low
46,1125900000000000.0,42139Byte/s,0,EGO,LTE,Valid,AvailableService,Normal,100000000,00E0FC-B320-323-BPG7S25213001262,DL:20000 UL:20000,45060.0,,36,CS_PS_Capable,-106dBm,6dB,-73dBm,-9.5dB,LTE,22-06-2026 13:33,Zain Iraq,41820,LTE,41.0,26250.0,26250.0,108948258.0,4.0,,22-06-2026 13:33,No,Transition count within threshold,Low
47,1125900000000000.0,2583062Byte/s,0,EGO,LTE,Valid,AvailableService,Normal,100000000,00E0FC-B320-323-BPG7S24127007950,DL:20000 UL:20000,31901.0,,69,CS_PS_Capable,-72dBm,23dB,-45dBm,-7.0dB,LTE,22-06-2026 13:33,Zain Iraq,41820,LTE,1.0,21600.0,19700.0,110643479.0,474.0,,22-06-2026 13:33,No,Transition count within threshold,Low
48,1125900000000000.0,1535501Byte/s,0,EGO,LTE,Valid,AvailableService,Normal,100000000,00E0FC-B535-235a-64YUT23B28002503,DL:20000 UL:20000,45203.0,,80,CS_PS_Capable,-61dBm,8dB,-44dBm,-9.0dB,LTE,22-06-2026 13:33,Zain Iraq,41820,LTE,3.0,18150.0,17200.0,108553996.0,242.0,,22-06-2026 13:33,No,Transition count within threshold,Low
